#,Categoria,Nome_do_taxon_(com_autoria),Nome_em_Portugues,English_Name,Vasante__Julho_/2023,,,,,,,,,,,,,,,,Seca__Outubro_/2023,,,,,,,,,,,,,,,Enchente_Marco_de_2024,,,,,,,,,,,,,,Cheia_Dezembro_2024,,,,,,,,,,,,,
,,,,,FOAD,B._sonhos,estrada_(mata+comunidade),Sinha_mariana_(indo_para_corixo_Leme),Corixo_Leme,_Rio_II_________________________________________Estirao_Cumprido/Porto_Brandao,,Rio_I_______________________Poco/_Barao,,Mane_Isaque,Rio_III______________Cuiaba_Mirim,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore_cidade,Total_1ª_Coleta,FOAD,B._sonhos,estrada_(mata+comunidade),Chacorore___Sinha_Mariana,Corixo_Leme,_Rio_II_____________________________________________________Porto_Brandao/_Estirao_Cumprido,Rio_III,,Mane_Isaque,Rio_I,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore,Total_2º_Coleta,FOAD,B._sonhos,estrada_(mata+comunidade),Chacorore___Sinha_Mariana,Corixo_Leme,Rio_III,Rio_II,Rio_I,Mane_Isaque,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore,Total_3º_Coleta,FOAD,B._sonhos,estrada_(mata+comunidade),Chacorore___Sinha_Mariana,Corixo_Leme,Rio_III,Rio_II,Rio_I,Mane_Isaque,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore,Total_4º_Coleta
943,Especie,Stercorarius_maccormicki_Saunders_1893,mandriao_do_sul,South_Polar_Skua,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
944,Especie,Stercorarius_antarcticus_(Lesson_1831),mandriao_antartico,Brown_Skua,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
948,Especie,Stercorarius_pomarinus_(Temminck_1815),mandriao_pomarino,Pomarine_Jaeger,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
949,Especie,Stercorarius_parasiticus_(Linnaeus_1758),mandriao_parasitico,Parasitic_Jaeger,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
950,Especie,Stercorarius_longicaudus_Vieillot_1819,mandriao_de_cauda_comprida,Long_tailed_Jaeger,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
952,Familia,Laridae_Rafinesque_1815,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
953,Subfamilia,Larinae_Rafinesque_1815,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
954,Genero,Xema_Leach_1819,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
955,Especie,Xema_sabini_(Sabine_1819),gaivota_de_sabine,Sabine's_Gull,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
956,Genero,Chroicocephalus_Eyton_1836,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
957,Especie,Chroicocephalus_maculipennis_(Lichtenstein_1823),gaivota_maria_velha,Brown_hooded_Gull,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
958,Especie,Chroicocephalus_cirrocephalus_(Vieillot_1818),gaivota_de_cabeca_cinza,Gray_hooded_Gull,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
960,Especie,Chroicocephalus_ridibundus_(Linnaeus_1766),gaivota_de_capuz_escuro,Black_headed_Gull,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
961,Genero,Leucophaeus_Bruch_1853,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
962,Especie,Leucophaeus_modestus_(Tschudi_1843),gaivota_cinzenta,Gray_Gull,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
963,Especie,Leucophaeus_atricilla_(Linnaeus_1758),gaivota_alegre,Laughing_Gull,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
965,Especie,Leucophaeus_pipixcan_(Wagler_1831),gaivota_de_franklin,Franklins_Gull,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
966,Genero,Larus_Linnaeus_1758,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
967,Especie,Larus_atlanticus_Olrog_1958,gaivota_de_rabo_preto,Olrog's_Gull,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
968,Especie,Larus_dominicanus_Lichtenstein_1823,gaivotao,Kelp_Gull,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
970,Especie,Larus_fuscus_Linnaeus_1758,gaivota_da_asa_escura,Lesser_Black_backed_Gull,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
972,Subfamilia,Anoinae_Bonaparte_1854,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
973,Genero,Anous_Stephens_1826,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
974,Especie,Anous_stolidus_(Linnaeus_1758),trinta_reis_escuro,Brown_Noddy,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
976,Especie,Anous_minutus_Boie_1844,trinta_reis_preto,Black_Noddy,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
978,Subfamilia,Gyginae_Verheyen_1959,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
979,Genero,Gygis_Wagler_1832,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
980,Especie,Gygis_alba_(Sparrman_1786),grazina,Atlantic_White_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
981,Subfamilia,Rynchopinae_Bonaparte_1838,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
982,Genero,Rynchops_Linnaeus_1758,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
983,Especie,Rynchops_niger_Linnaeus_1758,talha_mar,Black_Skimmer,,294,,5,,,,30,32,,,63,1,16,,441,,,,,,,,,,10,1,,,,11,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,0
986,Subfamilia,Sterninae_Vigors_1825,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
987,Genero,Onychoprion_Wagler_1832,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
988,Especie,Onychoprion_fuscatus_(Linnaeus_1766),trinta_reis_das_rocas,Sooty_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
990,Genero,Sternula_Boie_1822,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
991,Especie,Sternula_antillarum_Lesson_1847,trinta_reis_miudo,Least_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
994,Especie,Sternula_superciliaris_(Vieillot_1819),trinta_reis_pequeno,Yellow_billed_Tern,,75,,,,,,,2,3,2,39,,,,121,1,,,,,1,,,,1,,5,,,8,1,3,,,1,,,,,,1,,,6,1,1,,4,,,,,,2,14,,,22
995,Genero,Phaetusa_Wagler_1832,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
996,Especie,Phaetusa_simplex_(Gmelin_1789),trinta_reis_grande,Large_billed_Tern,,267,,1,,3,,2,22,10,,75,2,72,1,455,6,,,,,,,,,5,16,3,,,30,,68,,5,,,,7,,,,,,80,,,,,,,,1,,,,,,1
999,Genero,Gelochelidon_Brehm_1830,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1000,Especie,Gelochelidon_nilotica_(Gmelin_1789),trinta_reis_de_bico_preto,Gull_billed_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1003,Genero,Chlidonias_Rafinesque_1822,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1004,Especie,Chlidonias_niger_(Linnaeus_1758),trinta_reis_negro,Black_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1007,Especie,Chlidonias_leucopterus_(Temminck_1815),trinta_reis_negro_de_asa_branca,White_winged_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1008,Genero,Sterna_Linnaeus_1758,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1009,Especie,Sterna_hirundo_Linnaeus_1758,trinta_reis_boreal,Common_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1011,Especie,Sterna_dougallii_Montagu_1813,trinta_reis_roseo,Roseate_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1013,Especie,Sterna_paradisaea_Pontoppidan_1763,trinta_reis_artico,Arctic_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1014,Especie,Sterna_hirundinacea_Lesson_1831,trinta_reis_de_bico_vermelho,South_American_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1015,Especie,Sterna_vittata_Gmelin_1789,trinta_reis_antartico,Antarctic_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1017,Especie,Sterna_trudeaui_Audubon_1838,trinta_reis_de_coroa_branca,Snowy_crowned_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1018,Genero,Thalasseus_Boie_1822,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1019,Especie,Thalasseus_acuflavidus_(Cabot_1847),trinta_reis_de_bando,Cabot's_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1022,Especie,Thalasseus_maximus_(Boddaert_1783),trinta_reis_real,Royal_Tern,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1023,Ordem,Eurypygiformes_Fürbringer_1888,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1024,Familia,Eurypygidae_Selby_1840,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1025,Genero,Eurypyga_Illiger_1811,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1026,Especie,Eurypyga_helias_(Pallas_1781),pavaozinho_do_para,Sunbittern,,,,,,,,,,,,,,,,0,,,,,,,,,,1,,2,,,3,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1028,Ordem,Phaethontiformes_Sharpe_1891,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1029,Familia,Phaethontidae_Brandt_1840,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1030,Genero,Phaethon_Linnaeus_1758,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1031,Especie,Phaethon_aethereus_Linnaeus_1758,rabo_de_palha_de_bico_vermelho,Red_billed_Tropicbird,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1034,Especie,Phaethon_rubricauda_Boddaert_1783,rabo_de_palha_de_cauda_vermelha,Red_tailed_Tropicbird,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1036,Especie,Phaethon_lepturus_Daudin_1802,rabo_de_palha_de_bico_laranja,White_tailed_Tropicbird,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1038,Ordem,Sphenisciformes_Sharpe_1891,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1039,Familia,Spheniscidae_Bonaparte_1831,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1040,Genero,Aptenodytes_Miller_1778,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1041,Especie,Aptenodytes_patagonicus_Miller_1778,pinguim_rei,King_Penguin,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1042,Genero,Spheniscus_Brisson_1760,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1043,Especie,Spheniscus_magellanicus_(Forster_1781),pinguim_de_magalhaes,Magellanic_Penguin,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1044,Genero,Eudyptes_Vieillot_1816,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1045,Especie,Eudyptes_chrysolophus_(Brandt_1837),pinguim_macaroni,Macaroni_Penguin,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1046,Especie,Eudyptes_chrysocome_(Forster_1781),pinguim_de_penacho_amarelo,Southern_Rockhopper_Penguin,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1047,Ordem,Procellariiformes_Fürbringer_1888,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1048,Familia,Diomedeidae_Gray_1840,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1049,Genero,Diomedea_Linnaeus_1758,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1050,Especie,Diomedea_epomophora_Lesson_1825,albatroz_real,Royal_Albatross,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1051,Especie,Diomedea_sanfordi_Murphy_1917,albatroz_real_do_norte,Northern_Royal_Albatross,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1052,Especie,Diomedea_exulans_Linnaeus_1758,albatroz_errante,Wandering_Albatross,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1053,Especie,Diomedea_dabbenena_Mathews_1929,albatroz_de_tristao,Tristan_Albatross,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1054,Genero,Phoebetria_Reichenbach_1853,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1055,Especie,Phoebetria_fusca_(Hilsenberg_1822),piau_preto,Sooty_Albatross,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1056,Especie,Phoebetria_palpebrata_(Forster_1785),piau_de_costas_claras,Light_mantled_Albatross,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1057,Genero,Thalassarche_Reichenbach_1853,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1058,Especie,Thalassarche_chlororhynchos_(Gmelin_1789),albatroz_de_nariz_amarelo,Yellow_nosed_Albatross,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1059,Especie,Thalassarche_melanophris_(Temminck_1828),albatroz_de_sobrancelha,Black_browed_Albatross,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1060,Especie,Thalassarche_chrysostoma_(Forster_1785),albatroz_de_cabeca_cinza,Gray_headed_Albatross,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1061,Especie,Thalassarche_cauta_(Gould_1841),albatroz_de_coroa_branca,White_capped_Albatross,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1063,Familia,Oceanitidae_Forbes_1881,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1064,Genero,Fregetta_Bonaparte_1855,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1065,Especie,Fregetta_grallaria_(Vieillot_1818),painho_de_barriga_branca,White_bellied_Storm_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1067,Especie,Fregetta_tropica_(Gould_1844),painho_de_barriga_preta,Black_bellied_Storm_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1069,Genero,Oceanites_Keyserling_&_Blasius_1840,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1070,Especie,Oceanites_oceanicus_(Kuhl_1820),alma_de_mestre,Wilsons_Storm_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1074,Genero,Pelagodroma_Reichenbach_1853,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1075,Especie,Pelagodroma_marina_(Latham_1790),calcamar,White_faced_Storm_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1077,Familia,Hydrobatidae_Mathews_1912,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1078,Genero,Hydrobates_Boie_1822,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1079,Especie,Hydrobates_leucorhous_(Vieillot_1818),painho_de_cauda_furcada,Leach's_Storm_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1081,Familia,Procellariidae_Leach_1820,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1082,Genero,Macronectes_Richmond_1905,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1083,Especie,Macronectes_giganteus_(Gmelin_1789),petrel_grande,Southern_Giant_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1084,Especie,Macronectes_halli_Mathews_1912,petrel_grande_do_norte,Northern_Giant_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1085,Genero,Fulmarus_Stephens_1826,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1086,Especie,Fulmarus_glacialoides_(Smith_1840),pardelao_prateado,Southern_Fulmar,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1087,Genero,Daption_Stephens_1826,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1088,Especie,Daption_capense_(Linnaeus_1758),pomba_do_cabo,Cape_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1090,Genero,Lugensa_Mathews_1942,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1091,Especie,Lugensa_brevirostris_(Lesson_1831),grazina_de_bico_curto,Kerguelen_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1092,Genero,Pterodroma_Bonaparte_1856,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1093,Especie,Pterodroma_madeira_Mathews_1934,grazina_da_madeira,Zino's_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1094,Especie,Pterodroma_deserta_Mathews_1934,grazina_de_desertas,Desertas_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1095,Especie,Pterodroma_mollis_(Gould_1844),grazina_delicada,Soft_plumaged_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1096,Especie,Pterodroma_incerta_(Schlegel_1863),grazina_de_barriga_branca,Atlantic_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1097,Especie,Pterodroma_lessonii_(Garnot_1826),grazina_de_cabeca_branca,White_headed_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1098,Especie,Pterodroma_macroptera_(Smith_1840),fura_bucho_de_cara_cinza,Great_winged_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1099,Especie,Pterodroma_arminjoniana_(Giglioli_&_Salvadori_1869),grazina_de_trindade,Trindade_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1100,Genero,Halobaena_Bonaparte_1856,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1101,Especie,Halobaena_caerulea_(Gmelin_1789),petrel_azul,Blue_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1102,Genero,Pachyptila_Illiger_1811,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1103,Especie,Pachyptila_vittata_(Forster_1777),faigao_de_bico_largo,Broad_billed_Prion,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1104,Especie,Pachyptila_desolata_(Gmelin_1789),faigao_rola,Antarctic_Prion,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1105,Especie,Pachyptila_belcheri_(Mathews_1912),faigao_de_bico_fino,Slender_billed_Prion,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1106,Genero,Bulweria_Bonaparte_1843,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1107,Especie,Bulweria_bulwerii_(Jardine_&_Selby_1828),alma_negra,Bulwer's_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1108,Genero,Procellaria_Linnaeus_1758,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1109,Especie,Procellaria_cinerea_Gmelin_1789,pardela_cinza,Gray_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
1110,Especie,Procellaria_aequinoctialis_Linnaeus_1758,pardela_preta,White_chinned_Petrel,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
