Especie,estrada_(mata_+_comunidade)___Vasante,FOAD_Vasante,B._sonhos_vasante,Sia_mariana__corixo_Leme__vasante,Corixo_Leme_vasante,Rio_III_vasante,RioII_vasante,Rio_I_vasante,Mane_Isaque_vasante,Sia_Mariana__Mutum_vasante,Rio_Mutum_vasante,Corixo_do_Mato_vasante,Chacorore__vasante,Total_1º_coleta/_Vazante,estrada_(mata_+_comunidade)_seca,FOAD_seca,B._sonhos_seca,Sia_Mariana__corixo_do_leme_seca,Corixo_Leme_seca,Rio_III_seca,_Rio_II_seca,Rio_I_seca,Mane_Isaque_seca,Sia_Mariana__Mutum_seca,Rio_Mutum_seca,Corixo_do_Mato_seca,Chacorore_seca,Total_2º_coleta/_Seca,estrada_(mata_+_comunidade)_enchente,FOAD_enchente,B._sonhos_enchente,Sia_Mariana___Corixo_do_Leme_enchente,Corixo_Leme_enchente,Rio_III_enchente,Rio_II_enchente,Rio_I_enchente,Mane_Isaque_enchente,Sia_Mariana__Mutum_enchente,Rio_Mutum_enchente,Corixo_do_Mato_enchente,Chacorore_enchente,Total_3º_coleta/_enchente,estrada_(mata_+_comunidade)_cheia,FOAD_cheia,B._sonhos_cheia,Sia_Mariana___Corixo_do_leme_cheia,Corixo_Leme_cheia,Rio_III_cheia,Rio_II_cheia,Rio_I_cheia,Mane_Isaque_cheia,Sia_Mariana__Mutum_cheia,Rio_Mutum_cheia,Corixo_do_Mato_cheia,Chacorore_cheia,Total_4º_coleta/_Cheia,Total
Cochlearius_cochlearius_(Linnaeus_1766),0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Botaurus_pinnatus_(Wagler_1829),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nycticorax_nycticorax_(Linnaeus_1758),0,0,0,0,0,0,22,0,1,0,0,17,0,40,0,0,0,2,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Butorides_striata_(Linnaeus_1758),0,0,0,0,0,0,1,0,8,0,12,65,0,86,0,0,0,1,2,1,3,7,6,0,7,0,0,27,0,0,0,0,0,0,2,1,3,0,6,3,0,15,0,0,0,1,1,1,1,0,3,0,10,0,0,17,145
Bubulcus_ibis_(Linnaeus_1758),0,0,0,0,0,0,0,0,2,0,0,0,3,5,0,0,0,0,0,0,0,1,0,2,0,0,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Ardea_cocoi_Linnaeus_1766,0,1,0,5,6,2,11,1,6,4,9,35,2,82,0,3,2,3,0,9,12,8,3,7,4,0,0,51,0,1,3,5,2,2,7,3,0,18,15,2,2,60,0,0,1,2,1,0,0,2,0,4,5,0,8,23,216
Ardea_alba_Linnaeus_1758,0,1,1,7,0,1,12,8,4,6,3,40,1,84,0,0,0,1,0,0,12,1,0,1,0,0,1,16,0,0,4,3,0,2,2,2,0,5,1,1,1,21,0,0,53,0,0,3,1,2,3,1,7,0,0,70,191
Syrigma_sibilatrix_(Temminck_1824),0,0,3,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
Pilherodius_pileatus_(Boddaert_1783),0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Egretta_thula_(Molina_1782),0,0,1,3,2,3,2,0,2,4,11,37,0,65,0,0,0,0,0,0,0,7,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,5,1,0,0,6,0,0,3,0,0,0,0,2,1,15,0,0,0,21,100
