Especie,estrada_(mata_+_comunidade)___Vasante,FOAD_Vasante,B._sonhos_vasante,Sia_mariana__corixo_Leme__vasante,Corixo_Leme_vasante,Rio_III_vasante,RioII_vasante,Rio_I_vasante,Mane_Isaque_vasante,Sia_Mariana__Mutum_vasante,Rio_Mutum_vasante,Corixo_do_Mato_vasante,Chacorore__vasante,Total_1º_coleta/_Vazante,estrada_(mata_+_comunidade)_seca,FOAD_seca,B._sonhos_seca,Sia_Mariana__corixo_do_leme_seca,Corixo_Leme_seca,Rio_III_seca,_Rio_II_seca,Rio_I_seca,Mane_Isaque_seca,Sia_Mariana__Mutum_seca,Rio_Mutum_seca,Corixo_do_Mato_seca,Chacorore_seca,Total_2º_coleta/_Seca,estrada_(mata_+_comunidade)_enchente,FOAD_enchente,B._sonhos_enchente,Sia_Mariana___Corixo_do_Leme_enchente,Corixo_Leme_enchente,Rio_III_enchente,Rio_II_enchente,Rio_I_enchente,Mane_Isaque_enchente,Sia_Mariana__Mutum_enchente,Rio_Mutum_enchente,Corixo_do_Mato_enchente,Chacorore_enchente,Total_3º_coleta/_enchente,estrada_(mata_+_comunidade)_cheia,FOAD_cheia,B._sonhos_cheia,Sia_Mariana___Corixo_do_leme_cheia,Corixo_Leme_cheia,Rio_III_cheia,Rio_II_cheia,Rio_I_cheia,Mane_Isaque_cheia,Sia_Mariana__Mutum_cheia,Rio_Mutum_cheia,Corixo_do_Mato_cheia,Chacorore_cheia,Total_4º_coleta/_Cheia,Total
Columbina_picui_(Temminck_1813),,,,,,,,,,,,,,0,2,,,,,,,1,,,,,5,8,1,,,,,,,,,,,0,3,4,,2,,,,,,,,,,,,2,14
Guira_guira_(Gmelin_1788),,,,,,,,,,,,,,0,,,,,,,5,1,1,,,,1,8,2,,,,,,,2,,,,,,4,,,,,,,1,,1,,,,,2,14
Crotophaga_major_Gmelin_1788,,,,,,,,,,,3,,,3,,,9,,,,,1,,,9,,6,25,,,,,4,2,,20,7,,,1,,34,,,,,2,1,5,1,11,,5,,2,27,89
Crotophaga_ani_Linnaeus_1758,1,,,,,5,2,4,7,,5,15,6,45,4,1,,5,,6,9,4,23,,1,,14,67,,,,,,1,5,,2,,4,2,29,43,,,2,,2,1,2,,7,,,,2,16,171
Dromococcyx_phasianellus_(Spix_1824),,,,,,,,,1,,1,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,3
Piaya_cayana_(Linnaeus_1766),,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,0,2
Nyctidromus_albicollis_(Gmelin_1789),,60,,,,,,,,,,,,60,,52,,,,,,,,,,39,,91,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,151
Nannochordeiles_pusillus_(Gould_1861),,,14,,,,,,,,,,,14,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,14
Podager_nacunda_(Vieillot_1817),,,7,,,,,,,,,,,7,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,1,8
Phaethornis_pretrei_(Lesson_&_Delattre_1839),,,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,1
Colibri_serrirostris_(Vieillot_1816),,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0,1
Eupetomena_macroura_(Gmelin_1788),,,,,,,,,,,,,,0,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,0,2
Chionomesa_fimbriata_(Gmelin_1788),,1,,,,,,,1,,,,,2,,1,,,2,,2,,,,,,,5,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,0,9
Aramus_guarauna_(Linnaeus_1766),,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,2
Porphyrio_martinica_(Linnaeus_1766),,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,1,,,,,,,,,,,2,,,2,3
