#,Categoria,Nome_do_taxon_(com_autoria),Nome_em_Portugues,English_Name,estrada_(mata_+_comunidade)___Vasante,FOAD_Vasante,B._sonhos_vasante,Sia_mariana__corixo_Leme__vasante,Corixo_Leme_vasante,Rio_III_vasante,RioII_vasante,Rio_I_vasante,Mane_Isaque_vasante,Sia_Mariana__Mutum_vasante,Rio_Mutum_vasante,Corixo_do_Mato_vasante,Chacorore__vasante,Total_1º_coleta/_Vazante,estrada_(mata_+_comunidade)_seca,FOAD_seca,B._sonhos_seca,Sia_Mariana__corixo_do_leme_seca,Corixo_Leme_seca,Rio_III_seca,_Rio_II_seca,Rio_I_seca,Mane_Isaque_seca,Sia_Mariana__Mutum_seca,Rio_Mutum_seca,Corixo_do_Mato_seca,Chacorore_seca,Total_2º_coleta/_Seca,estrada_(mata_+_comunidade)_enchente,FOAD_enchente,B._sonhos_enchente,Sia_Mariana___Corixo_do_Leme_enchente,Corixo_Leme_enchente,Rio_III_enchente,Rio_II_enchente,Rio_I_enchente,Mane_Isaque_enchente,Sia_Mariana__Mutum_enchente,Rio_Mutum_enchente,Corixo_do_Mato_enchente,Chacorore_enchente,Total_3º_coleta/_enchente,estrada_(mata_+_comunidade)_cheia,FOAD_cheia,B._sonhos_cheia,Sia_Mariana___Corixo_do_leme_cheia,Corixo_Leme_cheia,Rio_III_cheia,Rio_II_cheia,Rio_I_cheia,Mane_Isaque_cheia,Sia_Mariana__Mutum_cheia,Rio_Mutum_cheia,Corixo_do_Mato_cheia,Chacorore_cheia,Total_4º_coleta/_Cheia,
10,Especie,Penelope_ochrogaster_Pelzeln_1870,jacu_de_barriga_castanha,Chestnut_bellied_Guan,,,,,,,,,,,,,,0,,,,,,,,,,,2,,,2,,,,,1,,,,,,5,,,6,,,,,,,,,,,,,,0,8
,Genero,Aburria_Reichenbach_1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Especie,Aburria_cumanensis_(Jacquin_1784),jacutinga_de_garganta_azul,Blue_throated_Piping_Guan,,,,,,,,,,,,,,0,,,4,,,,,,,,,,,4,,,,,1,,1,,,,,,,2,,,,,,,,,,,,,,0,6
12,Especie,Aburria_cujubi_(Pelzeln_1858),cujubi,Red_throated_Piping_Guan,,,,,,,,,,,,,,0,,,,,11,1,,,,,2,,,14,,,,,5,2,,,,,,,,7,,,,,,,,,,1,,,,1,22
,Genero,Ortalis_Merrem_1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Especie,Ortalis_canicollis_(Wagler_1830),aracua_do_pantanal,Chaco_Chachalaca,3,,12,,,3,12,8,,,2,,,40,,5,10,4,,15,10,1,2,,3,,5,55,,8,11,,4,1,1,2,2,,,0,8,37,,6,7,,,5,1,,,,1,,,20,152
,Genero,Crax_Linnaeus_1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Especie,Crax_fasciolata_Spix_1825,mutum_de_penacho,Bare_faced_Curassow,2,,,,,,,,,,,,,2,4,2,4,3,,,,,,,,,,13,,2,,,,,2,,,,2,,,6,,,,,,,,,,,2,,,2,23
,Ordem,Columbiformes_Latham_1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Columbidae_Leach_1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subfamilia,Columbinae_Leach_1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Patagioenas_Reichenbach_1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Especie,Patagioenas_speciosa_(Gmelin_1789),pomba_trocal,Scaled_Pigeon,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,1,,,,,,,,,,,2,,,2,4
16,Especie,Patagioenas_picazuro_(Temminck_1813),pomba_asa_branca,Picazuro_Pigeon,,,19,,,,8,5,1,3,27,4,9,76,,,,5,2,1,,,,36,19,,,63,,,4,,,2,11,1,,2,6,1,,27,,2,,,,,,,1,1,2,,,6,172
17,Especie,Patagioenas_cayennensis_(Bonnaterre_1792),pomba_galega,Pale_vented_Pigeon,,,,,,,,,,,,,,0,,,,,,1,,,,,1,,,2,,,,,,,1,,,,1,1,,3,,,,,,,,,,,2,,,2,7
,Genero,Geotrygon_Gosse_1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Especie,Geotrygon_montana_(Linnaeus_1758),pariri,Ruddy_Quail_Dove,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,0,1
,Genero,Leptotila_Swainson_1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Especie,Leptotila_verreauxi_Bonaparte_1855,juriti_pupu,White_tipped_Dove,,1,,,,,1,,,,2,,5,9,1,6,8,,,4,,6,1,,,,2,28,,4,,,,,1,,1,,9,0,1,16,,5,,,,,,,,,3,,,8,61
20,Especie,Leptotila_rufaxilla_(Richard_&_Bernard_1792),juriti_de_testa_branca,Gray_fronted_Dove,,,,,,,,,,,,,,0,,,,,,1,,,1,,,,,2,,2,,,,2,,,,,1,,,5,,,,,,,,,,,,,,0,7
,Genero,Zenaida_Bonaparte_1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Especie,Zenaida_auriculata_(Des_Murs_1847),avoante,Eared_Dove,,,,,,,,1,,,1,,,2,,,,,,,,,,,8,,,8,,,,,,,,,,,,,,0,,,,,1,,,,,,3,,,4,14
,Subfamilia,Claravinae_Richmond_1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Claravis_Oberholser_1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Especie,Claravis_pretiosa_(Ferrari_Perez_1886),pararu_azul,Blue_Ground_Dove,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,1,,,,,,,,,,2,,3,,,,,,,,,,,,,,0,3
,Genero,Uropelia_Bonaparte_1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Especie,Uropelia_campestris_(Spix_1825),rolinha_vaqueira,Long_tailed_Ground_Dove,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,1
,Genero,Columbina_Spix_1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Especie,Columbina_minuta_(Linnaeus_1766),rolinha_de_asa_canela,Plain_breasted_Ground_Dove,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,0,2,2,,,,,,,,,,,,,,0,2
25,Especie,Columbina_talpacoti_(Temminck_1811),rolinha_roxa,Ruddy_Ground_Dove,,2,,,,,3,12,8,,,,44,69,7,1,10,,,1,20,26,3,,,,15,83,7,6,,,,6,1,,1,1,33,0,16,71,5,1,2,,1,5,,,2,,3,,,19,242
26,Especie,Columbina_squammata_(Lesson_1831),rolinha_fogo_apagou,Scaled_Dove,,3,,,,2,,,1,,,,,6,,,,,,,2,,1,,,,,3,,1,2,,,5,1,2,,,,0,10,21,2,,3,,,,,,,,1,,,6,36
27,Especie,Columbina_picui_(Temminck_1813),rolinha_picui,Picui_Ground_Dove,,,,,,,,,,,,,,0,2,,,,,,,1,,,,,5,8,1,,,,,,,,,,,0,3,4,,2,,,,,,,,,,,,2,14
,Ordem,Cuculiformes_Wagler_1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Cuculidae_Leach_1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subfamilia,Crotophaginae_Swainson_1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Guira_Lesson_1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Especie,Guira_guira_(Gmelin_1788),anu_branco,Guira_Cuckoo,,,,,,,,,,,,,,0,,,,,,,5,1,1,,,,1,8,2,,,,,,,2,,,,,,4,,,,,,,1,,1,,,,,2,14
,Genero,Crotophaga_Linnaeus_1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
