#;Categoria;Nome do táxon (com autoria);Nome em Português;English Name;Vasante  Julho /2023;;;;;;;;;;;;;;;;Seca  Outubro /2023;;;;;;;;;;;;;;;Enchente Março de 2024;;;;;;;;;;;;;;Cheia Dezembro 2024;;;;;;;;;;;;;;;;
;;;;;FOAD;B. sonhos;estrada (mata+comunidade);Sinhá mariana (indo para corixo Leme);Corixo Leme; Rio II                                         Estirão Cumprido/Porto Brandão;;Rio I                       Poço/ Barão;;Mané-Isaque;Rio III              Cuiabá-Mirim;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé cidade;Total 1ª Coleta;FOAD;B. sonhos;estrada (mata+comunidade);Chacororé - Sinhá Mariana;Corixo Leme; Rio II                                                     Porto Brandão/ Estirão Cumprido;Rio III;;Mané-Isaque;Rio I;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé;Total 2º Coleta;FOAD;B. sonhos;estrada (mata+comunidade);Chacororé - Sinhá Mariana;Corixo Leme;Rio III;Rio II;Rio I;Mané-Isaque;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé;Total 3º Coleta;FOAD;B. sonhos;estrada (mata+comunidade);Chacororé - Sinhá Mariana;Corixo Leme;Rio III;Rio II;Rio I;Mané-Isaque;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé;Total 4º Coleta;;;
1134;Gênero;Mycteria Linnaeus, 1758;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1135;Espécie;Mycteria americana Linnaeus, 1758;cabeça-seca;Wood Stork;;;;;;3;;;4;2;;;;18;;27;1;;96;2;2;;7;;;;;;;;108;;1;1;;;;1;;;;2;;;5;;;;;;;;;;;;;;0;;;
1136;Ordem;Suliformes Sharpe, 1891;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1137;Família;Fregatidae Degland & Gerbe, 1867;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1138;Gênero;Fregata Lacépède, 1799;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1139;Espécie;Fregata trinitatis Miranda-Ribeiro, 1919;fragata-pequena;Atlantic Lesser Frigatebird;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1140;Espécie;Fregata aquila (Linnaeus, 1758);fragata-de-ascenção;Ascension Frigatebird;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1141;Espécie;Fregata magnificens Mathews, 1914;fragata;Magnificent Frigatebird;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1142;Espécie;Fregata minor (Gmelin, 1789);fragata-grande;Great Frigatebird;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1144;Família;Sulidae Reichenbach, 1849;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1145;Gênero;Morus Vieillot, 1816;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1146;Espécie;Morus bassanus (Linnaeus, 1758);atobá-boreal;Northern Gannet;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1147;Espécie;Morus capensis (Lichtenstein, 1823);atobá-do-cabo;Cape Gannet;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1148;Espécie;Morus serrator (Gray, 1843);atobá-australiano;Australasian Gannet;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1149;Gênero;Sula Brisson, 1760;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1150;Espécie;Sula dactylatra Lesson, 1831;atobá-grande;Masked Booby;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1152;Espécie;Sula sula (Linnaeus, 1766);atobá-de-pé-vermelho;Red-footed Booby;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1154;Espécie;Sula leucogaster (Boddaert, 1783);atobá-pardo;Brown Booby;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1156;Família;Anhingidae Reichenbach, 1849;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1157;Gênero;Anhinga Brisson, 1760;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1158;Espécie;Anhinga anhinga (Linnaeus, 1766);biguatinga;Anhinga;;;;7;2;4;;3;;19;2;;3;31;1;72;2;;;;1;2;6;;4;8;;;;1;24;;;;;2;2;5;3;3;4;4;2;;25;;;;;;3;1;1;2;;2;;;9;;;
1160;Família;Phalacrocoracidae Reichenbach, 1849;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1161;Gênero;Nannopterum Sharpe, 1899;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1162;Espécie;Nannopterum brasilianum (Gmelin, 1789);biguá;Neotropic Cormorant;1;14;;7;20;2;4;5;2;6;2;211;16;103;1;394;2;;;;;21;;;5;3;4;9;;2;46;;2;;2;;;3;1;;13;3;15;;39;;13;;;;2;5;1;7;1;13;6;;48;;;
1164;Ordem;Pelecaniformes Sharpe, 1891;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1165;Família;Pelecanidae Rafinesque, 1815;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1166;Gênero;Pelecanus Linnaeus, 1758;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1167;Espécie;Pelecanus occidentalis Linnaeus, 1766;pelicano;Brown Pelican;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1170;Família;Ardeidae Leach, 1820;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1171;Gênero;Tigrisoma Swainson, 1827;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1172;Espécie;Tigrisoma lineatum (Boddaert, 1783);socó-boi;Rufescent Tiger-Heron;;;;;1;;;;;1;;;6;15;1;24;;;;;;2;;;;1;;5;;1;9;;;;;;;1;;1;1;3;2;;8;;;;;;;;;;1;6;;;7;;;
1175;Espécie;Tigrisoma fasciatum (Such, 1825);socó-jararaca;Fasciated Tiger-Heron;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1177;Gênero;Agamia Reichenbach, 1853;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1178;Espécie;Agamia agami (Gmelin, 1789);garça-da-mata;Agami Heron;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1179;Gênero;Cochlearius Brisson, 1760;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1180;Espécie;Cochlearius cochlearius (Linnaeus, 1766);arapapá;Boat-billed Heron;;;;;;;;;5;;;;;;;5;;;;;;;;;;;;;;;0;;;;;;;6;;;;;;;6;;;;;;;;;;;;;;0;;;
1182;Gênero;Zebrilus Bonaparte, 1855;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1183;Espécie;Zebrilus undulatus (Gmelin, 1789);socoí-zigue-zague;Zigzag Heron;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1184;Gênero;Botaurus Stephens, 1819;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1185;Espécie;Botaurus pinnatus (Wagler, 1829);socó-boi-baio;Pinnated Bittern;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;0;;;
1187;Gênero;Ixobrychus Billberg, 1828;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1188;Espécie;Ixobrychus exilis (Gmelin, 1789);socoí-vermelho;Least Bittern;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1190;Espécie;Ixobrychus involucris (Vieillot, 1823);socoí-amarelo;Stripe-backed Bittern;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1191;Gênero;Nycticorax Forster, 1817;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1192;Espécie;Nycticorax nycticorax (Linnaeus, 1758);socó-dorminhoco;Black-crowned Night-Heron;;;;;;22;;;;1;;;;17;;40;;;;2;;;;;;6;;;;;8;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1195;Gênero;Nyctanassa Stejneger, 1887;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1196;Espécie;Nyctanassa violacea (Linnaeus, 1758);savacu-de-coroa;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1198;Gênero;Butorides Blyth, 1852;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1199;Espécie;Butorides striata (Linnaeus, 1758);socozinho;Striated Heron;;;;;;1;;;;8;;;12;65;;86;;;;1;2;3;1;;6;7;;7;;;27;;;;;;;2;1;3;;6;3;;15;;;;1;1;1;1;;3;;10;;;17;;;
1201;Gênero;Ardeola Boie, 1822;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1202;Espécie;Ardeola ralloides (Scopoli, 1769);garça-caranguejeira;Squacco Heron;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1204;Gênero;Bubulcus Bonaparte, 1855;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1205;Espécie;Bubulcus ibis (Linnaeus, 1758);garça-vaqueira;Cattle Egret;;;;;;;;;;2;;;;;3;5;;;;;;;;;;1;2;;;4;7;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;0;;;
1207;Gênero;Ardea Linnaeus, 1758;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1208;Espécie;Ardea cinerea Linnaeus, 1758;garça-moura-europeia;Gray Heron;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1210;Espécie;Ardea cocoi Linnaeus, 1766;garça-moura;Cocoi Heron;1;;;5;6;10;1;1;;6;2;4;9;35;2;82;3;2;;3;;12;9;;3;8;7;4;;;51;1;3;;5;2;2;7;3;;18;15;2;2;60;;1;;2;1;;;2;;4;5;;8;23;;;
1211;Espécie;Ardea purpurea Linnaeus, 1766;garça-roxa;Purple Heron;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1213;Espécie;Ardea alba Linnaeus, 1758;garça-branca-grande;Great Egret;1;1;;7;;12;;7;1;4;1;6;3;40;1;84;;;;1;;12;;;;1;1;;;1;16;;4;;3;;2;2;2;;5;1;1;1;21;;53;;;;3;1;2;3;1;7;;;70;;;
1215;Gênero;Syrigma Ridgway, 1878;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1216;Espécie;Syrigma sibilatrix (Temminck, 1824);maria-faceira;Whistling Heron;;3;;;;;;;1;;;;;;;4;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;1;;;;;;;;;;;;1;;;
1218;Gênero;Pilherodius Reichenbach, 1853;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1219;Espécie;Pilherodius pileatus (Boddaert, 1783);garça-real;Capped Heron;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;0;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;0;;;
1220;Gênero;Egretta Forster, 1817;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1221;Espécie;Egretta tricolor (Statius Muller, 1776);garça-tricolor;Tricolored Heron;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1223;Espécie;Egretta gularis (Bosc, 1792);garça-negra;Western Reef-Heron;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1225;Espécie;Egretta garzetta (Linnaeus, 1766);garça-pequena-europeia;Little Egret;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1227;Espécie;Egretta thula (Molina, 1782);garça-branca-pequena;Snowy Egret;;1;;3;2;2;;;;2;3;4;11;37;;65;;;;;;;;;;7;1;;;;8;;;;;;;;;;5;1;;;6;;3;;;;;;2;1;15;;;;21;;;
1229;Espécie;Egretta caerulea (Linnaeus, 1758);garça-azul;Little Blue Heron;1;1;;;;;;;;4;;1;2;;;9;;;;;;;;;;;1;;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;0;;;
1230;Família;Threskiornithidae Poche, 1904;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1231;Gênero;Eudocimus Wagler, 1832;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1232;Espécie;Eudocimus ruber (Linnaeus, 1758);guará;Scarlet Ibis;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1233;Gênero;Plegadis Kaup, 1829;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1234;Espécie;Plegadis chihi (Vieillot, 1817);caraúna;White-faced Ibis;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;0;;;
1235;Gênero;Cercibis Wagler, 1832;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1236;Espécie;Cercibis oxycerca (Spix, 1825);trombeteiro;Sharp-tailed Ibis;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1237;Gênero;Mesembrinibis Peters, 1930;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1238;Espécie;Mesembrinibis cayennensis (Gmelin, 1789);coró-coró;Green Ibis;;6;;;;;;;;;;;;;1;7;;;;;;76;;;;1;;;;15;92;;3;;;;;;3;1;1;1;;;9;;;;;;;;;;;3;;;3;;;
1239;Gênero;Phimosus Wagler, 1832;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1240;Espécie;Phimosus infuscatus (Lichtenstein, 1823);tapicuru;Bare-faced Ibis;;80;;;;1;;;;;;3;;12;2;98;;;;;;15;;;;;12;;;16;43;;1;;;;;3;;;;;;;4;;;;;;;;;;;1;;;1;;;
1244;Gênero;Theristicus Wagler, 1832;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1245;Espécie;Theristicus caerulescens (Vieillot, 1817);curicaca-real;Plumbeous Ibis;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;0;;;;;;;;1;;;;;;1;;;
1246;Espécie;Theristicus caudatus (Boddaert, 1783);curicaca;Buff-necked Ibis;3;14;;;;7;;;1;;;2;;;2;29;2;2;1;;;6;;;;;4;;;2;17;;;2;;;;;;;;2;;2;6;;12;;;;;4;;;;;;;16;;;
1249;Gênero;Platalea Linnaeus, 1758;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1250;Espécie;Platalea leucorodia Linnaeus, 1758;colhereiro-europeu;Eurasian Spoonbill;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1252;Espécie;Platalea ajaja Linnaeus, 1758;colhereiro;Roseate Spoonbill;;7;;;;1;;;;2;;;2;32;;44;;;;;;34;;;;;;;;;34;;44;;;;;;;;;;;1;45;;;;;;;;;;;;;;0;;;
1253;Ordem;Cathartiformes Seebohm, 1890;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1254;Família;Cathartidae Lafresnaye, 1839;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1255;Gênero;Sarcoramphus Duméril, 1805;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1256;Espécie;Sarcoramphus papa (Linnaeus, 1758);urubu-rei;King Vulture;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1257;Gênero;Coragyps Le Maout, 1853;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1258;Espécie;Coragyps atratus (Bechstein, 1793);urubu-preto;Black Vulture;2;1;;3;;36;6;32;12;10;2;3;16;;103;226;2;41;;;3;51;9;;4;97;;;;6;213;;4;1;;5;14;2;4;3;;31;;2;66;;;;4;2;93;6;14;5;;3;;12;139;;;
1261;Gênero;Cathartes Illiger, 1811;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1262;Espécie;Cathartes aura (Linnaeus, 1758);urubu-de-cabeça-vermelha;Turkey Vulture;;;;;;;;;;1;;;7;;;8;1;;;;;1;;;;;;1;;5;8;;;;;;;;1;;1;;;;2;;;;;;4;;;;;1;;;5;;;
1265;Espécie;Cathartes burrovianus Cassin, 1845;urubu-de-cabeça-amarela;Lesser Yellow-headed Vulture;2;;;;;2;;;;2;;;;;;6;;;;;;2;;;;1;;;;1;4;;;;;;;;;2;1;10;;1;14;;;;;1;2;;;;;;;;3;;;
1267;Espécie;Cathartes melambrotus Wetmore, 1964;urubu-da-mata;Greater Yellow-headed Vulture;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1268;Ordem;Accipitriformes Bonaparte, 1831;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1269;Família;Pandionidae Bonaparte, 1854;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1270;Gênero;Pandion Savigny, 1809;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1271;Espécie;Pandion haliaetus (Linnaeus, 1758);águia-pescadora;Osprey;;;;;;;;;1;;;;;;;1;;;;;;;;;;3;;1;;;4;;;;1;;;;;;1;;;;2;;;;;;;;;;;;;;0;;;
1273;Família;Accipitridae Vigors, 1824;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1274;Subfamília;Elaninae Blyth, 1851;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1275;Gênero;Gampsonyx Vigors, 1825;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1276;Espécie;Gampsonyx swainsonii Vigors, 1825;gaviãozinho;Pearl Kite;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1279;Gênero;Elanus Savigny, 1809;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1280;Espécie;Elanus leucurus (Vieillot, 1818);gavião-peneira;White-tailed Kite;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1282;Subfamília;Gypaetinae Bonaparte, 1831;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1283;Gênero;Chondrohierax Lesson, 1843;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1284;Espécie;Chondrohierax uncinatus (Temminck, 1822);gavião-caracoleiro;Hook-billed Kite;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1286;Gênero;Leptodon Sundevall, 1836;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1287;Espécie;Leptodon cayanensis (Latham, 1790);gavião-gato;Gray-headed Kite;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1288;Espécie;Leptodon forbesi (Swann, 1922);gavião-gato-do-nordeste;White-collared Kite;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1289;Gênero;Elanoides Vieillot, 1818;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1290;Espécie;Elanoides forficatus (Linnaeus, 1758);gavião-tesoura;Swallow-tailed Kite;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1293;Subfamília;Accipitrininae Vigors, 1824;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1294;Gênero;Morphnus Dumont, 1816;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1295;Espécie;Morphnus guianensis (Daudin, 1800);uiraçu;Crested Eagle;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1296;Gênero;Harpia Vieillot, 1816;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1297;Espécie;Harpia harpyja (Linnaeus, 1758);gavião-real;Harpy Eagle;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1298;Gênero;Spizaetus Vieillot, 1816;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1299;Espécie;Spizaetus tyrannus (Wied, 1820);gavião-pega-macaco;Black Hawk-Eagle;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1302;Espécie;Spizaetus melanoleucus (Vieillot, 1816);gavião-pato;Black-and-white Hawk-Eagle;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1303;Espécie;Spizaetus ornatus (Daudin, 1800);gavião-de-penacho;Ornate Hawk-Eagle;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1305;Gênero;Busarellus Lesson, 1843;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1306;Espécie;Busarellus nigricollis (Latham, 1790);gavião-belo;Black-collared Hawk;;;;;;;;;;;;;2;1;1;4;;;;;;1;;;1;;;2;;;4;;;1;;;;;1;;;3;;1;6;;;;1;;;1;;;;4;;;6;;;
1309;Gênero;Rostrhamus Lesson, 1830;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
1310;Espécie;Rostrhamus sociabilis (Vieillot, 1817);gavião-caramujeiro;Snail Kite;1;;;;;2;;;;3;;;;2;1;9;;;;;;;;;;;;;;;0;;;;;;1;;;2;;;;;3;;;;;;;;;;;;;;0;;;
1312;Gênero;Helicolestes Bangs & Penard, 1918;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
