"","Pontos","Righness","Shannon","Simpson","Evenness","Berger_Parker"
"160","Myiozetetes_cayanensis_(Linnaeus_1766)",5,1.561,0.778,0.97,0.333
"161","Myiozetetes_similis_(Spix_1825)",8,1.859,0.809,0.894,0.333
"162","Tyrannus_albogularis_Burmeister_1856",5,1.474,0.75,0.916,0.333
"163","Tyrannus_melancholicus_Vieillot_1819",36,2.621,0.855,0.731,0.333
"164","Tyrannus_savana_Daudin_1802",4,1.141,0.673,0.823,0.333
"165","Arundinicola_leucocephala_(Linnaeus_1764)",3,1.099,0.667,1,0.333
"166","Fluvicola_albiventer_(Spix_1825)",5,1.561,0.778,0.97,0.333
"167","Fluvicola_nengeta_(Linnaeus_1766)",5,1.561,0.778,0.97,0.333
"168","Pyrocephalus_rubinus_(Boddaert_1783)",5,1.436,0.735,0.892,0.333
"169","Xolmis_velatus_(Lichtenstein_1823)",3,1.099,0.667,1,0.333
"170","Cyclarhis_gujanensis_(Gmelin_1789)",5,1.561,0.778,0.97,0.333
"171","Cyanocorax_cyanomelas_(Vieillot_1818)",10,2.031,0.829,0.882,0.333
"172","Atticora_fasciata_(Gmelin_1789)",3,1.099,0.667,1,0.333
"173","Stelgidopteryx_ruficollis_(Vieillot_1817)",22,2.432,0.85,0.787,0.333
"174","Progne_tapera_(Linnaeus_1766)",5,1.452,0.738,0.902,0.333
"175","Progne_chalybea_(Gmelin_1789)",22,1.606,0.733,0.519,0.333
"176","Tachycineta_albiventer_(Boddaert_1783)",30,2.487,0.852,0.731,0.333
"177","Riparia_riparia_(Linnaeus_1758)",3,1.099,0.667,1,0.333
"178","Troglodytes_musculus_Naumann_1823",3,1.099,0.667,1,0.333
"179","Campylorhynchus_turdinus_(Wied_1831)",20,2.316,0.842,0.773,0.333
"180","Polioptila_dumicola_(Vieillot_1817)",6,1.633,0.778,0.911,0.333
"181","Donacobius_atricapilla_(Linnaeus_1766)",27,2.423,0.844,0.735,0.333
"182","Turdus_rufiventris_Vieillot_1818",19,2.366,0.846,0.804,0.333
"183","Mimus_saturninus_(Lichtenstein_1823)",7,1.709,0.787,0.878,0.333
"184","Passer_domesticus_(Linnaeus_1758)",3,1.099,0.667,1,0.333
"185","Anthus_chii_Vieillot_1818",11,1.88,0.798,0.784,0.333
"186","Euphonia_chlorotica_(Linnaeus_1766)",3,1.099,0.667,1,0.333
"187","Zonotrichia_capensis_(Statius_Muller_1776)",3,1.099,0.667,1,0.333
"188","Leistes_superciliaris_(Bonaparte_1850)",3,1.099,0.667,1,0.333
"189","Psarocolius_decumanus_(Pallas_1769)",8,1.775,0.799,0.854,0.333
"190","Cacicus_solitarius_(Vieillot_1816)",13,1.715,0.762,0.669,0.333
"191","Cacicus_cela_(Linnaeus_1758)",26,2.477,0.849,0.76,0.333
"192","Icterus_croconotus_(Wagler_1829)",9,1.787,0.788,0.813,0.333
"193","Icterus_pyrrhopterus_(Vieillot_1819)",3,1.099,0.667,1,0.333
"194","Molothrus_bonariensis_(Gmelin_1789)",12,1.963,0.816,0.79,0.333
"195","Gnorimopsar_chopi_(Vieillot_1819)",14,1.857,0.788,0.704,0.333
"196","Agelaioides_badius_(Vieillot_1819)",7,1.773,0.802,0.911,0.333
"197","Agelasticus_cyanopus_(Vieillot_1819)",9,1.886,0.812,0.859,0.333
"198","Saltator_maximus_(Statius_Muller_1776)",7,1.754,0.796,0.901,0.333
"199","Saltator_coerulescens_Vieillot_1817",5,1.561,0.778,0.97,0.333
"200","Saltator_similis_d'Orbigny_&_Lafresnaye_1837",7,1.773,0.802,0.911,0.333
"201","Coereba_flaveola_(Linnaeus_1758)",5,1.561,0.778,0.97,0.333
"202","Volatinia_jacarina_(Linnaeus_1766)",10,2.018,0.828,0.876,0.333
"203","Ramphocelus_bresilia_(Linnaeus_1766)",4,1.33,0.722,0.959,0.333
"204","Ramphocelus_carbo_(Pallas_1764)",22,2.291,0.835,0.741,0.333
"205","Sporophila_lineola_(Linnaeus_1758)",3,1.099,0.667,1,0.333
"206","Sporophila_plumbea_(Wied_1830)",4,1.265,0.702,0.913,0.333
"207","Sporophila_collaris_(Boddaert_1783)",3,1.099,0.667,1,0.333
"208","Sporophila_nigricollis_(Vieillot_1823)",5,1.561,0.778,0.97,0.333
"209","Sporophila_caerulescens_(Vieillot_1823)",3,1.099,0.667,1,0.333
"210","Sporophila_bouvreuil_(Statius_Muller_1776)",3,1.099,0.667,1,0.333
"211","Sicalis_flaveola_(Linnaeus_1766)",18,1.676,0.746,0.58,0.333
"212","Paroaria_coronata_(Miller_1776)",3,1.099,0.667,1,0.333
"213","Paroaria_capitata_(d'Orbigny_&_Lafresnaye_1837)",33,2.489,0.842,0.712,0.333
"214","Thraupis_sayaca_(Linnaeus_1766)",19,2.291,0.838,0.778,0.333
"215","Thraupis_palmarum_(Wied_1821)",11,1.991,0.818,0.83,0.333
"216","Stilpnia_cayana_(Linnaeus_1766)",3,1.099,0.667,1,0.333
"217","",57,2.709,0.851,0.67,0.333
